,Title,Author(s),Number in Series,Series Title,Length of Series,Publication Month,Publication Day,Publication Year,Number of Pages,Genres,Similar Books,Rating,Number of Ratings,Number of 5-Star Ratings,Number of 4-Star Ratings,Number of 3-Star Ratings,Number of 2-Star Ratings,Number of 1-Star Ratings,Number of Reviews,Cover Image Tag,Synopsis
20,The Art of Eating,M.F.K. Fisher,,,,,19,1954,749,"Food, Nonfiction, Cooking, Essays, Cookbooks, Food Writing, Memoir, Foodie, Culinary, Food and Drink","Comfort Me with Apples: More Adventures at the Table by Ruth Reichl,, Tender at the Bone: Growing Up at the Table by Ruth Reichl,, The Man Who Ate Everything by Jeffrey Steingarten,, Hungry Monkey: A Food-Loving Father's Quest to Raise an Adventurous Eater by Matthew Amster-Burton,, Men to Avoid in Art and Life by Nicole Tersigni,, My Life in France by Julia Child,, What Einstein Told His Cook: Kitchen Science Explained by Robert L. Wolke,, Poet of the Appetites: The Lives and Loves of M.F.K. Fisher by Joan Reardon,, Illuminations: Essays and Reflections by Walter Benjamin,, The Making of a Chef: Mastering Heat at the Culinary Institute of America by Michael Ruhlman,, The Scots: A Genetic Journey by Alistair Moffat,, The Emperor's Children by Claire Messud,, Citizens: A Chronicle of the French Revolution by Simon Schama,, The Painted Alphabet by Diana Darling,, Interior with Sudden Joy: Poems by Brenda Shaughnessy,, By Grand Central Station I Sat Down and Wept by Elizabeth Smart,, On Love and Tyranny: The Life and Politics of Hannah Arendt by Ann Heberlein,, Vlaanderen 2055 by Jonathan Holslag",4.32,5893,3170,1767,705,180,71,291,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360056492l/94079.jpg,"This book is the essence of M.F.K. Fisher, whose wit and fulsome opinions on food and those who produce it, comment upon it, and consume it are as apt today as they were several decades ago, when she composed them. Why did she choose food and hunger she was asked, and she replied, 'When I write about hunger, I am really writing about love and the hunger for it, and warmth,"
21,The Art of Fiction,Henry James,,,,,18,1884,96,"Nonfiction, Writing, Classics, Essays, Literary Criticism, Literature, Books About Books, 19th Century, Theory, Art","Ποιήματα. Νέα συγκεντρωτική έκδοση by Κώστας Ταχτσής,, Καφενείο ""Το Βυζάντιο"" και άλλα ποιήματα: 1950-1956 by Costas Taktsis,, Deenie by Judy Blume,, Η Στείρωση των Αστέρων by Pablo Neruda,, Ο θάνατος της νυχτοπεταλούδας by Virginia Woolf,, The Death of the Author by Roland Barthes,, Encyclopedia Brown, Boy Detective (Encyclopedia Brown, #1) by Donald J. Sobol,, The Celebrated Jumping Frog of Calaveras County by Mark Twain,, The Little Match Girl by Hans Christian Andersen,, Editha by William Dean Howells,, The Children's Hour by Lillian Hellman,, A Rose for Emily by William Faulkner,, Eloise by Kay Thompson,, Driving Miss Daisy by Alfred Uhry,, The Outcasts of Poker Flat by Bret Harte,, The Armies of the Night: History as a Novel, the Novel as History by Norman Mailer,, The Complete Poems by Anne Sexton,, Ode on a Grecian Urn by John Keats",3.68,1124,296,363,320,99,46,59,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348791369l/10387214.jpg,"In this classic essay which originally appeared in his 1888 collectionPartial Portraits, Henry James argues against rigid proscriptions on the novelist's choice of subject and method of treatment. He maintains that the widest possible freedom in content and approach will help ensure narrative fiction's continued vitality."
22,"The Art of Living: The Classical Manual on Virtue, Happiness and Effectiveness",Epictetus,,,,,12,,128,"Philosophy, Nonfiction, Classics, Self Help, Psychology, History, Spirituality, Personal Development, Ancient, Ancient History","On the Shortness of Life by Seneca,, Meditations by Marcus Aurelius,, Letters from a Stoic by Seneca,, On Anger by Seneca,, Peace of Mind by Seneca,, Tanrısal Öngörü (De Providentia) by Seneca,, How to Be a Stoic: Using Ancient Philosophy to Live a Modern Life by Massimo Pigliucci,, L'arte di essere felici by Seneca,, Courage Under Fire: Testing Epictetus's Doctrines in a Laboratory of Human Behavior by James B. Stockdale,, How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius by Donald J. Robertson,, Musonius Rufus: Lectures and Sayings by Musonius Rufus,, Practical Stoicism: Exercises for Doing the Right Thing Right Now by Grey Freeman,, A Guide to the Good Life: The Ancient Art of Stoic Joy by William B. Irvine,, El arte de mantener la calma by Seneca,, Tao Te Ching by Lao Tzu,, L'arte di essere saggi by Seneca,, Alt timp nu am. Despre scurtimea vieții. Despre viața fericită by Seneca,, The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph by Ryan Holiday",4.24,19920,9448,6730,2954,630,158,1760,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388969321l/24618.jpg,"Epictetus was born into slavery about 55 C.E. in the eastern outreaches of the Roman Empire. Sold as a child and crippled from the beatings of his master, Epictetus was eventually freed, rising from his humble roots to establish an influential school of Stoic philosophy. Stressing that human beings cannot control life, only how they respond to it, Epictetus dedicated his l"
23,The Art of War,Sun Tzu,,,,,50,,273,,"The Prince by Niccolò Machiavelli,, The 48 Laws of Power by Robert Greene,, Meditations by Marcus Aurelius,, The Richest Man in Babylon by George S. Clason,, How to Win Friends and Influence People by Dale Carnegie,, The One Minute Manager by Kenneth H. Blanchard,, Tao Te Ching by Lao Tzu,, Rich Dad, Poor Dad by Robert T. Kiyosaki,, Man's Search for Meaning by Viktor E. Frankl,, Think and Grow Rich by Napoleon Hill,, The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change by Stephen R. Covey,, A Book of Five Rings: The Classic Guide to Strategy by Miyamoto Musashi,, 12 Rules for Life: An Antidote to Chaos by Jordan B. Peterson,, The Communist Manifesto by Karl Marx,, Sapiens: A Brief History of Humankind by Yuval Noah Harari,, The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life by Mark Manson,, Thinking, Fast and Slow by Daniel Kahneman,, The Republic by Plato",3.97,402341,143812,137357,92429,22250,6493,14410,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630683326l/10534._SY475_.jpg,"Twenty-Five Hundred years ago, Sun Tzu wrote this classic book of military strategy based on Chinese warfare and military thought. Since that time, all levels of military have used the teaching on Sun Tzu to warfare and civilization have adapted these teachings for use in politics, business and everyday life. The Art of War is a book which should be used to gain advantage"
24,As I Lay Dying,William Faulkner,,,,,19,1930,288,,"The Sun Also Rises by Ernest Hemingway,, To the Lighthouse by Virginia Woolf,, A Portrait of the Artist as a Young Man by James Joyce,, The Crying of Lot 49 by Thomas Pynchon,, Dubliners by James Joyce,, Beloved by Toni Morrison,, Blood Meridian, or the Evening Redness in the West by Cormac McCarthy,, A Farewell to Arms by Ernest Hemingway,, Invisible Man by Ralph Ellison,, The Awakening by Kate Chopin,, A Gathering of Old Men by Ernest J. Gaines,, Heart of Darkness by Joseph Conrad,, Their Eyes Were Watching God by Zora Neale Hurston,, Death of a Salesman by Arthur  Miller,, Cane by Jean Toomer,, White Noise by Don DeLillo,, All the Pretty Horses (The Border Trilogy, #1) by Cormac McCarthy,, Mrs. Dalloway by Virginia Woolf",3.72,149960,45071,48288,33805,14586,8210,8772,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451810782l/77013.jpg,"As I Lay Dyingis Faulkner’s harrowing account of the Bundren family’s odyssey across the Mississippi countryside to bury Addie, their wife and mother. Narrated in turn by each of the family members -- including Addie herself -- as well as others; the novel ranges in mood, from dark comedy to the deepest pathos. Considered one of the most influential novels in American"
25,Atonement,Ian McEwan,,,,September,17,2001,351,"Fiction, Historical Fiction, Classics, Romance, Historical, War, Literary Fiction, Contemporary, Literature, Novels","Never Let Me Go by Kazuo Ishiguro,, The Remains of the Day by Kazuo Ishiguro,, The Bell Jar by Sylvia Plath,, Middlesex by Jeffrey Eugenides,, The Secret History by Donna Tartt,, The English Patient by Michael Ondaatje,, Rebecca by Daphne du Maurier,, Mrs. Dalloway by Virginia Woolf,, Lolita by Vladimir Nabokov,, Tess of the D'Urbervilles by Thomas Hardy,, The Virgin Suicides by Jeffrey Eugenides,, Wolf Hall (Thomas Cromwell, #1) by Hilary Mantel,, Wuthering Heights by Emily Brontë,, The Corrections by Jonathan Franzen,, A Thousand Splendid Suns by Khaled Hosseini,, The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9) by Philippa Gregory,, The Color Purple by Alice Walker,, The Curious Incident of the Dog in the Night-Time by Mark Haddon",3.92,479244,161962,176152,96423,30795,13912,19290,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320449708l/6867.jpg,"Ian McEwan’s symphonic novel of love and war, childhood and class, guilt and forgiveness provides all the satisfaction of a brilliant narrative and the provocation we have come to expect from this master of English prose.On a hot summer day in 1935, thirteen-year-old Briony Tallis witnesses the flirtation between her older sister, Cecilia, and Robbie Turner, the son of a s"
26,Autobiography of a Face,Lucy Grealy,,,,January,1,1994,256,"Memoir, Nonfiction, Biography, Biography Memoir, Autobiography, Medical, Disability, Psychology, Medicine, Book Club","Truth & Beauty by Ann Patchett,, This is the Story of a Happy Marriage by Ann Patchett,, These Precious Days: Essays by Ann Patchett,, The Patron Saint of Liars by Ann Patchett,, Lying: A Metaphorical Memoir by Lauren Slater,, The Magician's Assistant by Ann Patchett,, Run by Ann Patchett,, Brigadoon (Vocal Score) by Alan Jay Lerner,, Dear Teddy by J.D. Stockholm,, In Love: A Memoir of Love and Loss by Amy Bloom,, The Kiss by Kathryn Harrison,, Taft by Ann Patchett,, Lost & Found: A Memoir by Kathryn Schulz,, Welcome to My Country by Lauren Slater,, Stone Arabia by Dana Spiotta,, Bel Canto by Ann Patchett,, College Girl: A Memoir by Laura Gray-Rosendale,, What Has He Done Now?: Tales from a North West Childhood in the 60s and Early 70s by David Hayes",3.96,26561,8707,10397,5641,1316,500,1685,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921470l/534255.jpg,"I spent five years of my life being treated for cancer, but since then I've spent fifteen years being treated for nothing other than looking different from everyone else. It was the pain from that, from feeling ugly, that I always viewed as the great tragedy of my life. The fact that I had cancer seemed minor in comparison.At age nine, Lucy Grealy was diagnosed with a pote"
27,The Awakening,Kate Chopin,,,,,18,1899,195,"Classics, Fiction, Feminism, School, Literature, Historical Fiction, Read For School, High School, Novels, American","The Yellow Wall-Paper by Charlotte Perkins Gilman,, Their Eyes Were Watching God by Zora Neale Hurston,, Ethan Frome by Edith Wharton,, Maggie: A Girl of the Streets by Stephen Crane,, The Scarlet Letter by Nathaniel Hawthorne,, A Streetcar Named Desire by Tennessee Williams,, Death of a Salesman by Arthur  Miller,, Passing by Nella Larsen,, Daisy Miller by Henry James,, Beloved by Toni Morrison,, The Crucible by Arthur  Miller,, As I Lay Dying by William Faulkner,, Invisible Man by Ralph Ellison,, Mrs. Dalloway by Virginia Woolf,, Heart of Darkness by Joseph Conrad,, The Bell Jar by Sylvia Plath,, The Importance of Being Earnest by Oscar Wilde,, The Rise of Silas Lapham by William Dean Howells",3.67,186687,50395,60968,47383,18787,9154,8749,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170507247l/58345._SY475_.jpg,"When first published in 1899,The Awakeningshocked readers with its honest treatment of female marital infidelity. Audiences accustomed to the pieties of late Victorian romantic fiction were taken aback by Chopin's daring portrayal of a woman trapped in a stifling marriage, who seeks and finds passionate physical love outside the confines of her domestic situation.Aside f"
28,Babe: The Gallant Pig,Dick King-Smith,,,,January,1,1983,130,"Childrens, Fiction, Animals, Classics, Fantasy, Middle Grade, Young Adult, Chapter Books, Novels, Juvenile","The Year of the Baby (Anna Wang #2) by Andrea Cheng,, Detectives in Togas by Henry Winterfeld,, Little Pear by Eleanor Frances Lattimore,, Gooney Bird Greene by Lois Lowry,, Baby Wolf (Little Reader Wild Animals) by Beth Spanjian,, Word of Mouse by James Patterson,, Happy Times in Noisy Village by Astrid Lindgren,, The Cabin Faced West by Jean Fritz,, Stuart Little by E.B. White,, Mountain Born (Mountain Born, #1) by Elizabeth Yates,, Kildee House by Rutherford G. Montgomery,, Rapunzel by Jacob Grimm,, Eloise by Kay Thompson,, The Animals of Farthing Wood by Colin Dann,, Snow White and Rose Red by Jacob Grimm,, Bring Me the Head of Ivy Pocket (Ivy Pocket, #3) by Caleb Krisp,, The Year of Miss Agnes by Kirkpatrick Hill,, The Apprentice by Pilar Molina Llorente",4.09,14686,6218,4609,3042,598,219,570,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320498616l/646195.jpg,"Knopf is proud to present a handsome 20th-anniversary edition of Dick King-Smith’s bestselling novel that became an Academy Award–nominated movie. When Babe arrives at Hogget Farm, Mrs. Hogget’s thoughts turn to sizzling bacon and juicy pork chops—until he reveals a surprising talent for sheepherding, that is. Before long, Babe is handling Farmer Hogget’s flock better than"
29,Backlash: The Undeclared War Against American Women,Susan Faludi,,,,October,1,1991,594,"Feminism, Nonfiction, Politics, History, Sociology, Gender, Womens, Gender Studies, Womens Studies, Social Justice","The Beauty Myth by Naomi Wolf,, The Feminine Mystique by Betty Friedan,, The Female Eunuch by Germaine Greer,, For Her Own Good: Two Centuries of the Experts' Advice to Women by Barbara Ehrenreich,, The End of Men: And the Rise of Women by Hanna Rosin,, You Shall Know Our Velocity! by Dave Eggers,, Orientalism by Edward W. Said,, Sexual Politics by Kate Millett,, The Dialectic of Sex: The Case for Feminist Revolution by Shulamith Firestone,, Our Bodies, Ourselves for the New Century by Boston Women\'s Health Book Collective,, Babe: The Gallant Pig by Dick King-Smith,, A Heart Divided (Legends of the Condor Heroes #4) by Jin Yong,, All the Rebel Women: The Rise of the Fourth Wave of Feminism (Guardian Shorts) by Kira Cochrane,, 笑傲江湖 (全八冊) by Jin Yong,, No Logo by Naomi Klein,, Red Notice by Bill Browder | A 15-minute Summary & Analysis: A True Story of High Finance, Murder, and One Man's Fight for Justice by Instaread Summaries,, The Dream Cycle of H.P. Lovecraft: Dreams of Terror and Death by H.P. Lovecraft,, The Forest House (Avalon, #2) by Marion Zimmer Bradley",4.02,8735,3120,3366,1728,370,151,295,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386922920l/200883.jpg,"Skillfully Probing the Attack on Women’s Rights“Opting-out,” “security moms,” “desperate housewives,” “the new baby fever”—the trend stories of 2006 leave no doubt that American women are still being barraged by the same backlash messages that Susan Faludi brilliantly exposed in her 1991 bestselling book of revelations. Now, the book that reignited the feminist movement is"
30,Bad Dirt,Annie Proulx,2,Wyoming Stories,3,November,1,2004,240,"Short Stories, Fiction, Westerns, Literature, Literary Fiction, Contemporary, The United States Of America, American, Americana, Short Story Collection","August by Callan Wink,, Dog Run Moon by Callan Wink,, Herodotos: Historiankirjoituksen isä ja hänen maailmansa by Christa Steinby,, The Sheep Queen by Thomas Savage,, Double Blind by Edward St. Aubyn,, Today a Woman Went Mad in the Supermarket: Stories by Hilma Wolitzer,, More Than I Love My Life by David Grossman,, The Solace of Open Spaces by Gretel Ehrlich,, House of Day, House of Night by Olga Tokarczuk,, What We Owe by Golnaz Hashemzadeh Bonde,, Fuzz: When Nature Breaks the Law by Mary Roach,, The Shortest Day by Colm Tóibín,, The Enchantment of Lily Dahl by Siri Hustvedt,, Free Billy by Don Winslow,, Liquidation by Imre Kertész,, Chasing History: A Kid in the Newsroom by Carl Bernstein,, Kindergeschichten by Peter Bichsel,, The Christmas Boutique (Elm Creek Quilts #21) by Jennifer Chiaverini",3.97,3491,1015,1544,773,130,29,340,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440798798l/89623._SY475_.jpg,"The stories in Annie Proulx's new collection are peopled by characters who struggle with circumstances beyond their control in a kind of rural noir half-light. Trouble comes at them from unexpected angles, and they will themselves through it, hardheaded and resourceful. Bound by the land and by custom, they inhabit worlds that are often isolated, dangerous, and in Proulx's"
